"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-01","0.00","0.0",,"26","6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-02","0.00","0.0",,"25","8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-03","0.00","0.0",,"30","12"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-04","0.00","0.0",,"30","11"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-05","0.00","0.0",,"27","10"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-06","0.00","0.0",,"26","7"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-07","0.00","0.0",,"25","6"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-08","0.00","0.0",,"29","8"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-09","0.00","0.0",,"43","24"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-10","0.20","0.7",,"44","34"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-11","0.00","0.0",,"43","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-12","0.01","0.2",,"48","34"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-13","0.00","0.0",,"49","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-14","0.05","0.0",,"46","38"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-15","0.12","0.0",,"47","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-16","0.21","0.0",,"45","36"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-17","0.22","0.0",,"45","37"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-18","0.00","0.0",,"49","37"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-19","0.04","0.0",,"52","36"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-20","0.03","0.0",,"56","38"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-21","0.08","0.0",,"52","40"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-22","0.13","0.0",,"56","43"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-23","0.00","0.0",,"60","41"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-24","0.01","0.0",,"59","39"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-25","0.00","0.0",,"52","31"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-26","0.00","0.0",,"54","32"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-27","0.07","0.0",,"53","33"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-28","0.06","1.7",,"33","24"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-29","0.01","0.2",,"34","13"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-30","0.00","0.0",,"40","24"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-01-31","0.00","0.0",,"40","22"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-01","0.19","2.5",,"38","25"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-02","0.00","0.1",,"39","27"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-03","0.03","0.0",,"47","29"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-04","0.00","0.0",,"47","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-05","0.00","0.0",,"44","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-06","0.00","0.0",,"54","33"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-07","0.00","0.0",,"54","29"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-08","0.00","0.0",,"54","28"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-09","0.00","0.0",,"55","27"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-10","0.00","0.0",,"57","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-11","0.00","0.0",,"57","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-12","0.01","0.0",,"61","40"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-13","0.60","0.6",,"46","32"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-14","0.00","0.0",,"46","29"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-15","0.00","0.0",,"51","33"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-16","0.00","0.0",,"60","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-17","0.11","0.7",,"54","31"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-18","0.00","0.0",,"40","27"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-19","0.00","0.0",,"43","24"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-20","0.00","0.0",,"48","23"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-21","0.00","0.0",,"50","27"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-22","0.00","0.0",,"54","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-23","0.00","0.0",,"53","31"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-24","0.00","0.0",,"54","29"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-25","0.00","0.0",,"54","25"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-26","0.00","0.0",,"55","27"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-27","0.00","0.0",,"60","28"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-02-28","0.00","0.0",,"59","39"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-01","0.00","0.0",,"53","43"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-02","0.02","0.0",,"48","29"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-03","0.00","0.0",,"50","28"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-04","0.00","0.0",,"52","26"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-05","0.01","0.0",,"52","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-06","0.00","0.0",,"54","24"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-07","0.00","0.0",,"64","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-08","0.22","0.0",,"60","38"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-09","0.00","0.0",,"47","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-10","0.00","0.0",,"50","25"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-11","0.00","0.0",,"49","20"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-12","0.04","0.3",,"48","34"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-13","0.00","0.0",,"57","36"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-14","0.17","0.0",,"60","36"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-15","0.17","0.0",,"43","36"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-16","0.00","0.0",,"55","38"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-17","0.20","2.2",,"48","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-18","0.00","0.0",,"44","26"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-19","0.00","0.0",,"46","24"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-20","0.00","0.0",,"47","25"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-21","0.00","0.0",,"52","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-22","0.00","0.0",,"57","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-23","0.00","0.0",,"61","33"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-24","0.00","0.0",,"64","37"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-25","0.00","0.0",,"50","26"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-26","0.04","0.0",,"46","34"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-27","0.00","0.0",,"48","24"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-28","0.00","0.0",,"51","27"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-29","0.12","1.8",,"41","28"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-30","0.02","0.9",,"45","27"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-03-31","0.00","0.0",,"47","19"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-01","0.00","0.0",,"50","23"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-02","0.00","0.0",,"55","32"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-03","0.00","0.0",,"50","29"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-04","0.00","0.0",,"59","25"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-05","0.00","0.0",,"66","36"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-06","0.00","0.0",,"76","37"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-07","0.00","0.0",,"61","34"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-08","0.00","0.0",,"58","29"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-09","0.00","0.0",,"65","27"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-10","0.01","0.0",,"71","40"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-11","0.27","0.2",,"53","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-12","0.00","0.1",,"49","32"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-13","0.00","0.0",,"66","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-14","0.12","0.3",,"50","34"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-15","0.00","0.0",,"50","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-16","0.00","0.0",,"54","28"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-17","0.00","0.0",,"59","38"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-18","0.00","0.0",,"58","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-19","0.22","0.7",,"47","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-20","0.00","0.0",,"49","30"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-21","0.16","0.6",,"54","28"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-22","0.27","1.8",,"45","34"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-23","0.00","0.0",,"55","34"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-24","0.00","0.0",,"66","37"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-25","0.00","0.0",,"68","42"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-26","0.15","0.5",,"67","33"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-27","0.66","4.7",,"36","32"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-28","0.62","6.4",,"43","31"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-29","0.43","4.8",,"44","31"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-04-30","0.34","3.5",,"49","33"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-01","0.00","0.0",,"57","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-02","0.00","0.0",,"64","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-03","0.00","0.0",,"72","39"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-04","0.00","0.0",,"80","43"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-05","0.00","0.0",,"82","53"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-06","0.00","0.0",,"79","53"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-07","0.16","0.0",,"62","42"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-08","0.00","0.0",,"66","38"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-09","0.27","0.0",,"63","46"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-10","0.25","0.0",,"56","41"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-11","0.00","0.0",,"57","33"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-12","0.00","0.0",,"60","40"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-13","0.00","0.0",,"62","40"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-14","0.00","0.0",,"62","35"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-15","0.00","0.0",,"70","37"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-16","0.00","0.0",,"81","43"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-17","0.00","0.0",,"88","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-18","0.00","0.0",,"89","60"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-19","0.00","0.0",,"87","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-20","0.01","0.0",,"80","47"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-21","0.02","0.0",,"70","48"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-22","0.00","0.0",,"74","44"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-23","0.14","0.0",,"73","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-24","0.00","0.0",,"75","46"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-25","0.00","0.0",,"80","49"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-26","0.00","0.0",,"84","52"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-27","0.02","0.0",,"80","56"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-28","0.02","0.0",,"75","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-29","0.00","0.0",,"77","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-30","0.00","0.0",,"68","45"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-05-31","0.00","0.0",,"70","40"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-01","0.00","0.0",,"79","46"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-02","0.00","0.0",,"84","46"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-03","0.00","0.0",,"88","48"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-04","0.00","0.0",,"87","54"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-05","0.00","0.0",,"85","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-06","0.00","0.0",,"83","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-07","0.14","0.0",,"78","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-08","0.04","0.0",,"82","56"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-09","0.98","0.0",,"67","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-10","0.29","0.0",,"59","47"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-11","0.00","0.0",,"64","44"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-12","0.04","0.0",,"66","41"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-13","0.13","0.0",,"70","46"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-14","0.00","0.0",,"72","43"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-15","0.00","0.0",,"73","48"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-16","0.00","0.0",,"75","49"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-17","0.00","0.0",,"80","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-18","0.00","0.0",,"82","52"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-19","0.00","0.0",,"83","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-20","0.00","0.0",,"87","53"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-21","0.00","0.0",,"94","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-22","0.00","0.0",,"95","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-23","0.00","0.0",,"96","61"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-24","0.00","0.0",,"98","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-25","0.00","0.0",,"98","61"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-26","0.01","0.0",,"103","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1970-06-27","0.00","0.0",,"98","62"
